职位,公司名称,工作地点,薪资,发布时间
Python高级开发工程师（爬虫）,深圳市菲凡数据科技有限公司,深圳-福田区,2-3万/月,03-17
开发工程师（爬虫方向）,植美村,广州-天河区,1-1.5万/月,03-17
爬虫工程师,中软国际科技服务有限公司,北京-海淀区,1-1.5万/月,03-17
数据爬虫工程师,稳健医疗用品股份有限公司,深圳,1.5-2万/月,03-17
python爬虫工程师,深圳筑龙信息技术有限责任公司,深圳-福田区,0.8-1.5万/月,03-17
爬虫开发工程师（会java）,成都迈思信息技术有限公司,深圳,1-1.5万/月,03-17
Python爬虫工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1-1.5万/月,03-17
Python爬虫工程师,广州特道信息科技有限公司,广州,6.5-8千/月,03-17
Java爬虫开发工程师,上海冠勇信息科技有限公司,上海-闵行区,1-2万/月,03-17
初级爬虫工程师,杭州深绘智能科技有限公司,成都-双流区,1-1.5万/月,03-17
爬虫开发工程师,天宇正清科技有限公司,北京-石景山区,1.5-2.5万/月,03-17
爬虫专家,上海天洪信息技术有限公司,上海-闵行区,2.5-3万/月,03-17
软件开发工程师（网络爬虫方向）(J10619),中移（苏州）软件技术有限公司,苏州-高新区,2-2.5万/月,03-17
链家/贝壳业务数据分析/数据运营专员/政策研究/爬虫,广州市链家房地产代理有限公司,广州-越秀区,6-8千/月,03-17
python爬虫工程师,雷特网络科技有限公司,深圳-龙华新区,1.5-3万/月,03-17
业务爬虫工程师(TP0001),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,,03-17
Java爬虫工程师,四川省伍泰建设有限公司,成都-武侯区,4-8千/月,03-17
爬虫工程师,苏州隆力奇创客联盟贸易有限公司,苏州-工业园区,0.8-1.5万/月,03-17
Python爬虫开发工程师,广州金科企业征信有限公司,广州-天河区,0.6-1万/月,03-17
python爬虫数据开发工程师,营软数据（厦门）医药有限公司,厦门,0.8-1.5万/月,03-17
网络爬虫高级工程师,厦门市直播吧信息技术有限公司,厦门,1-1.5万/月,03-17
爬虫开发工程师,广州时易中信息科技有限公司,广州-荔湾区,0.8-1万/月,03-17
爬虫开发工程师,上海欧锐信息咨询有限公司,上海-杨浦区,1-1.5万/月,03-17
Python爬虫开发工程师,深圳市光逸科技创新有限公司,深圳-福田区,1.8-2.3万/月,03-17
爬虫开发工程师（国外网站）,广州首创服饰有限公司,广州-海珠区,1-1.5万/月,03-17
