排名,电影名称,电影英文名称,导演,剧情类型,上映时间,片长,累计票房,主演,评分,奖项,剧情简介
1,霸王别姬,Farewell My Concubine,陈凯歌,剧情,1993-07-26,171分钟,1万,"张国荣,张丰毅,巩俐",9.5,"['第66届奥斯卡金像奖', '第46届戛纳电影节', '第66届奥斯卡金像奖', '第46届戛纳电影节', '第47届英国电影和电视艺术学院奖', '第19届上海国际电影节', '第20届华鼎奖']",影片借一出《霸王别姬》的京戏，牵扯出三个人之间一段随时代风云变幻的爱恨情仇。段小楼（张丰毅 饰）与程蝶衣（张国荣 饰）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐 饰），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。
2,肖申克的救赎,The Shawshank Redemption,弗兰克·德拉邦特,剧情,1994-09-10,142分钟,暂无,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,"['第67届奥斯卡金像奖', '第52届金球奖', '第67届奥斯卡金像奖', '第52届金球奖', '第19届日本电影学院奖', '第42届土星奖', '第21届土星奖', '第69届日本电影旬报奖', '第34届美国剪辑工会奖', '第47届美国导演工会奖', '第1届美国演员工会奖', '第20届报知映画赏']",20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……
3,这个杀手不太冷,Léon,吕克·贝松,剧情,1994-09-14,110分钟,1950万美元,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.5,"['第19届日本电影学院奖', '第20届法国电影凯撒奖', '第19届日本电影学院奖', '第20届法国电影凯撒奖', '第5届北京国际电影节']",里昂（让·雷诺 饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔德（纳塔丽·波特曼 饰）敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼 饰）杀害全家的惩罚。马蒂尔德 得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。 女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……
4,罗马假日,Roman Holiday,威廉·惠勒,剧情,1953-08-20,118分钟,暂无,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.0,"['第26届奥斯卡金像奖', '第14届威尼斯电影节', '第26届奥斯卡金像奖', '第14届威尼斯电影节', '第11届金球奖', '第5届北京国际电影节']",欧洲某国的安妮公主（奥黛丽·赫本 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格利高里·派克 饰）。二人把手同游，相当快乐。公主更是到乔的家中作客并在那过夜。不料乔无意中发现了公主的真实身份，他决定炮制一个独家新闻，于是乔和朋友、摄影师欧文（埃迪·艾伯特 饰）一起带公主同游罗马，并且偷拍了公主的很多生活照。然而，在接下来与公主的相处中，乔不知不觉恋上了公主。为了保护公主的形象，乔只能忍痛抛弃功成名就的良机，将照片送予了公主。安妮公主在经历了罗马一日假期后，反而体验了自己对国家的责任，毅然返回了大使馆，为了本身的责任而果断抛弃了爱情。
5,泰坦尼克号,Titanic,詹姆斯·卡梅隆,剧情,1998-04-03,194分钟,暂无,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.4,"['第70届奥斯卡金像奖', '第55届金球奖', '第70届奥斯卡金像奖', '第55届金球奖', '第18届中国电影金鸡奖', '第11届欧洲电影奖', '第51届英国电影和电视艺术学院奖', '第21届日本电影学院奖', '第24届法国电影凯撒奖', '第26届安妮奖', '第7届MTV电影奖', '第25届人民选择奖', '第32届土星奖', '第24届土星奖', '第2届好莱坞电影奖', '第40届日本电影蓝丝带奖', '第37届美国剪辑工会奖', '第62届纽约影评人协会奖', '第50届美国导演工会奖', '第4届美国演员工会奖', '第23届报知映画赏']",1912年4月15日，载着1316号乘客和891名船员的豪华巨轮“泰坦尼克号”与冰山相撞而沉没，这场海难被认为是20世纪人间十大灾难之一。1985年，“泰坦尼克号”的沉船遗骸在北大西洋两英里半的海底被发现。美国探险家洛维特（比尔·帕克斯顿 饰）亲自潜入海底，在船舱的墙壁上看见了一幅画，洛维持的发现立刻引起了一位老妇人（格劳瑞亚·斯图尔特 饰）的注意。已经是101岁高龄的露丝称她就是画中的少女。在潜水舱里，露丝开始叙述当年在船上发生的故事。年轻的贵族少女露丝（凯特·温丝莱特 饰）与穷画家杰克（莱昂纳多·迪卡普里奥 饰）不顾世俗的偏见坠入爱河，然而就在1912年4月14日，一个风平浪静的夜晚，泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验，最终不得不永世相隔。老态龙钟的罗丝讲完这段哀恸天地的爱情之后，把那串价值连城的项链“海洋之心”沉入海底，让它陪着杰克和这段爱情长眠海底。
6,乱世佳人,Gone with the Wind,山姆·伍德,剧情,1939-12-15,238分钟,暂无,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,"['第12届奥斯卡金像奖', '第15届人民选择奖', '第12届奥斯卡金像奖', '第15届人民选择奖']",美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费·雯丽 饰）爱上了另一个农场主的儿子艾希礼（李斯利·霍华德 饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰（奥莉薇·黛·哈佛兰 饰）的弟弟查尔斯。战争期间，斯嘉丽成为寡妇，失去母亲，挑起生活的重担，不再是当初的千金小姐；战争结束后，她又两度为人妻，嫁给了爱她多年的投机商人瑞德（克拉克·盖博 饰）。然而，纵使经历了生活的艰苦，斯嘉丽对艾希礼的感情仍然没有改变。艾希礼妻子梅兰的去世，给了斯嘉丽一个机会，一边是深爱自己的丈夫瑞德，一边是心心念念多年的艾希礼？斯嘉丽会给自己怎样一个不一样的明天？
7,唐伯虎点秋香,Flirting Scholar,李力持,喜剧,1993-07-01,102分钟,暂无,"周星驰,巩俐,郑佩佩",9.1,[],唐伯虎（周星驰 饰）身为江南四大才子之首，却有道不尽的心酸。宁王想让唐伯虎帮其图谋作反，被唐伯虎拒绝意淫结仇。唐伯虎在与朋友出游时，遇到了貌若天仙的秋香（巩俐 饰）并对她一见钟情，决心要到华府当家丁以追求秋香，唐伯虎被取名华安。期间华太师遇到了宁王上门刁难，幸好有唐伯虎出面相助，并暴露了自己是唐伯虎的身份。秋香才知道华安是自己欣赏的唐伯虎。华夫人跟唐家有怨，因此二人便开始斗法。怎料宁王跟夺命书生再次上门，华夫人不是对手，幸得唐伯虎出手，华夫人也答应把秋香许配给唐伯虎。
8,魂断蓝桥,Waterloo Bridge,茂文·勒鲁瓦,剧情,1940-05-17,108分钟,暂无,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",9.2,"['第13届奥斯卡金像奖', '第13届奥斯卡金像奖']",第一次世界大战期间，回国度假的陆军中尉罗伊（罗伯特·泰勒 饰）在滑铁卢桥上邂逅了舞蹈演员玛拉（费雯·丽 饰），两人彼此倾心，爱情迅速升温。就在两人决定结婚之时，罗伊应招回营地，两人被迫分离。由于错过剧团演出，玛拉被开除，只能和好友相依为命。不久玛拉得知罗伊阵亡的消息，几欲崩溃，备受打击。失去爱情的玛拉感到一切都失去了意义，为了生存，她和好友不得不沦为妓女。然而命运弄人，就在此时玛拉竟然再次遇到了罗伊。虽然为罗伊的生还兴奋不已，玛拉却因自己的失身陷入痛苦之中。感到一切难以挽回的玛拉潸然离开，独自来到两人最初相遇的地点——滑铁卢桥上…
9,辛德勒的名单,Schindler&#39;s List,史蒂文·斯皮尔伯格,剧情,1993-11-30,195分钟,暂无,"连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,"['第66届奥斯卡金像奖', '第51届金球奖', '第66届奥斯卡金像奖', '第51届金球奖', '第47届英国电影和电视艺术学院奖', '第18届日本电影学院奖', '第20届法国电影凯撒奖', '第3届MTV电影奖', '第39届意大利大卫奖', '第68届日本电影旬报奖', '第33届美国剪辑工会奖', '第58届纽约影评人协会奖', '第46届美国导演工会奖', '第19届报知映画赏']",1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。1943年，克拉科夫的犹太人遭到了惨绝人寰的大屠杀，辛德勒目睹这一切，受到了极大的震撼，他贿赂军官，让自己的工厂成为集中营的附属劳役营，在那些疯狂屠杀的日子里，他的工厂也成为了犹太人的避难所。1944年，德国战败前夕，屠杀犹太人的行动越发疯狂，辛德勒向德军军官开出了1200人的名单，倾家荡产买下了这些犹太人的生命。在那些暗无天日的岁月里，拯救一个人，就是拯救全世界。
10,喜剧之王,The King of Comedy,李力持,剧情,1999-02-13,85分钟,暂无,"周星驰,莫文蔚,张柏芝",9.1,"['第19届香港金像奖', '第19届香港金像奖']",尹天仇（周星驰 饰）一直醉心戏剧，想成为一名演员，平时除了做跑龙套以外，还会在街坊福利会里开设演员训练班。此时舞小姐柳飘飘在妈妈桑的带领下来到这里要求学做戏，原来柳飘飘有一段非常不愉快的经历，在尹天仇对她指导的过程中，柳飘飘对尹天仇渐生情愫，同时她也成为了夜总会里当红的小姐。尹天仇受到了极多白眼之后，终于得到了大明星鹃姐（莫文蔚 饰）的赏识，提携他担演新戏中的男主角，但没想到突然把他的角色换掉了，令他失望不已。在片场当场务的卧底警员（吴孟达 饰）身份被识穿，尹天仇阴差阳错的帮忙破了案。之后尹天仇继续活跃在街坊福利会的演员训练班里。
