楼盘名称,户型,面积,楼层,租金,区域,教育配套
新德家园,2室2厅,76.82平米,中层(共27层),7800元/月,南山,深圳市南山区前海学校（小学部）
观海台花园,3室2厅,149.44平米,高层(共18层),25000元/月,南山,深圳市南山第二外国语学校集团海德学校（小学部）
国际市长交流中心,1室1厅,63.89平米,中层(共25层),8500元/月,南山,深圳市南山区海滨实验小学（深圳湾部）
蔚蓝海岸三期 (蔚蓝海岸社区三期),3室2厅,116.71平米,中层(共11层),16000元/月,南山,深圳市北京师范大学南山附属学校（小学部）
恒冠豪园,3室2厅,126.72平米,低层(共12层),12000元/月,福田,深圳市福田区石厦学校（小学部）
水榭花都二期 (香蜜湖水榭花都二期),3室2厅,120.34平米,低层(共22层),24000元/月,福田,深圳市福田区荔园外国语小学东校区
海尚国际 (海湾广场),2室2厅,81.04平米,高层(共32层),8500元/月,南山,蛇口育才教育集团太子湾学校（小学部）
福业大厦,3室2厅,82.78平米,中层(共21层),8200元/月,福田,深圳市福田区福民小学
花好园,2室2厅,66平米,高层(共28层),8000元/月,福田,深圳市福田区下沙小学
"中信红树湾 (中信红树湾花城,中信花城)",4室2厅,163.59平米,低层(共31层),25000元/月,南山,深圳市南山区海滨实验小学（深圳湾部）
海悦华城 (裕亨花园),3室2厅,89平米,低层(共35层),8500元/月,福田,深圳市福田区福民小学
侨香诺园 (荣超侨香诺园),4室2厅,135.96平米,高层(共27层),18000元/月,南山,深圳市南山区第二实验学校（小学部）
滨海之窗花园,3室2厅,97.36平米,中层(共33层),14000元/月,南山,深圳市南山第二外国语学校集团海德学校（小学部）
友邻公寓,1室1厅,44.53平米,中层(共30层),5500元/月,南山,深圳市南山第二外国语学校集团学府一小
"蔚蓝海岸一期 (蔚蓝海岸社区一期,蔚蓝海岸社区首期)",2室2厅,71.02平米,低层(共20层),10000元/月,南山,深圳市北京师范大学南山附属学校（小学部）
香域中央 (香域中央花园),3室0厅,146平米,中层(共16层),25000元/月,福田,深圳市福田区荔园外国语小学西校区
星海名城五期 (第五公社),2室1厅,36平米,低层(共32层),5300元/月,南山,深圳市南山区前海小学
绿景虹湾 (虹湾花园),2室2厅,57.73平米,高层(共46层),8500元/月,福田,深圳市福田区梅山小学
前海枫叶大厦,3室2厅,55平米,中层(共21层),9300元/月,前海枫叶大厦,深圳市南山区阳光小学
海印长城小区,2室2厅,92平米,中层(共17层),11000元/月,南山,深圳市南山第二外国语学校集团学府二小
